latitude,longitude,name
43.22331,-77.61436,1
43.24878,-77.46352,2
43.25858,-77.44298,3
43.18196,-77.88209,4
43.19543,-77.73714,5
43.22064,-77.57416,6
43.18519,-77.88486,7
43.07296,-77.81912,8
43.11621,-77.63652,9
43.07417,-77.81431,10
43.1126,-77.60045,11
43.06558,-77.80756,12
43.06752,-77.80698,13
43.11248,-77.60178,14
43.11208,-77.60145,15
43.08162,-77.8061,16
43.10824,-77.89275,17
43.11097,-77.88858,18
43.01739,-77.55668,19
42.95561,-77.67852,20
43.03499,-77.54722,21
43.03851,-77.5679,22
42.97627,-77.86469,23
43.00518,-77.79958,24
43.00697,-77.80901,25
43.01027,-77.79576,26
42.98795,-77.39931,27
43.02898,-77.57057,28
43.04122,-77.47369,29
42.96739,-77.44128,30
42.96502,-77.43086,31
42.95979,-77.66774,32
43.00724,-77.47414,33
43.03084,-77.54734,34
43.01327,-77.56201,35
43.02623,-77.55543,36
43.0116,-77.79381,37
43.0196,-77.57878,38
43.02605,-77.57057,39
42.96681,-77.43801,40
43.00732,-77.55969,41
43.00688,-77.47253,42
43.05887,-77.80862,43
43.0043,-77.56423,44
42.87768,-77.83221,45
42.84422,-77.54987,46
42.88831,-77.80221,47
42.84545,-77.80743,48
42.87202,-77.82862,49
42.8702,-77.82718,50
42.92244,-77.67525,51
42.91879,-77.67776,52
42.87469,-77.82903,53
42.80822,-77.82172,54
42.73498,-77.31581,55
42.76448,-77.83706,56
42.73739,-77.31104,57
42.73691,-77.31365,58
42.74434,-77.29814,59
42.76065,-77.38733,60
42.78324,-77.87962,61
42.79229,-77.87967,62
42.72783,-77.55861,63
42.73186,-77.89172,64
42.77164,-77.39596,65
42.76236,-77.39357,66
42.75612,-77.58781,67
42.77129,-77.74881,68
42.61817,-78.00196,69
42.64878,-77.98026,70
42.63664,-77.3496,71
42.69337,-77.59405,72
42.69433,-77.51951,73
42.68071,-77.50903,74
42.68719,-77.50848,75
42.68258,-78.05947,76
42.60039,-77.36459,77
42.6618,-77.60616,78
42.60316,-77.99799,79
42.64223,-77.98488,80
42.61408,-77.3533,81
42.64837,-77.59428,82
42.68916,-77.51843,83
42.61526,-77.33826,84
42.66526,-77.82629,85
42.68916,-77.56101,86
42.65311,-77.59039,87
42.62246,-77.32942,88
42.62893,-77.24202,89
42.66408,-77.76019,90
42.61119,-77.3478,91
42.6755,-78.06268,92
42.69096,-77.95467,93
42.61725,-77.34377,94
42.61285,-77.33907,95
42.69559,-77.5245,96
42.67387,-77.33048,97
42.67033,-77.82293,98
42.59367,-78.01887,99
42.49612,-77.87578,100
42.49434,-77.8372,101
42.58741,-78.00183,102
42.51141,-78.03841,103
42.51808,-78.03364,104
42.48711,-77.76085,105
42.49155,-77.77753,106
42.52591,-77.87736,107
42.50493,-77.82983,108
42.50208,-77.84468,109
42.5119,-77.84811,110
42.50949,-77.69058,111
42.52336,-77.69025,112
42.52528,-77.69061,113
43.04866,-77.45985,114
43.05199,-77.45522,115
43.05123,-77.46013,116
43.17991,-77.51434,117
43.18381,-77.51537,118
43.18143,-77.51273,119
42.8375,-77.80225,120
42.51463,-77.89491,121
42.82003,-77.82607,122
42.88174,-77.82656,123
42.7899,-77.85832,124
42.516,-77.88395,125
42.67432,-77.31678,126
42.82833,-77.81883,127
42.82273,-77.81355,128
42.76471,-77.83259,129
42.8517,-77.82754,130
43.14023,-77.56653,131
43.13965,-77.56474,132
42.7892,-77.82397,133
42.68911,-77.57083,134
42.49583,-77.7872,135
42.66333,-77.3318,136
43.03706,-77.52962,137
43.04849,-77.55754,138
43.29337,-77.71304,139
43.22969,-77.56072,140
42.98712,-77.81355,141
42.92987,-77.72118,142
42.93641,-77.69334,143
42.93958,-77.71808,144
42.76156,-77.62346,145
42.67367,-77.47488,146
43.16611,-77.52978,147
42.75941,-77.83801,148
42.99105,-77.89431,149
42.99339,-77.88522,150
43.17257,-77.52379,151
42.99079,-77.88913,152
42.99981,-77.88853,153
42.82443,-77.55596,154
42.96014,-77.68037,155
42.99249,-77.89222,156
43.19643,-77.74185,157
43.19423,-77.74115,158
42.96976,-77.42161,159
42.98649,-77.81499,160
